Case ID,Activity,Resource,Start Timestamp,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,1/29/2012 23:24,10,Cable Head,ID4932,S,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,1/30/2012 5:44,10,Cable Head,ID4932,D,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,1/30/2012 6:59,10,Cable Head,ID4167,S,0,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,1/30/2012 7:21,10,Cable Head,ID4167,D,8,0,0,
Case 1,Turning & Milling Q.C.,Quality Check 1,1/31/2012 13:20,10,Cable Head,ID4163,D,9,1,0,
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,2/1/2012 8:18,10,Cable Head,ID0998,D,9,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2/14/2012 0:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2/14/2012 0:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2/14/2012 9:05,10,Cable Head,ID4882,D,1,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,2/14/2012 9:05,10,Cable Head,ID4882,D,8,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2/14/2012 9:13,10,Cable Head,ID4445,S,0,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,2/14/2012 13:37,10,Cable Head,ID4445,D,9,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,2/16/2012 6:59,10,Cable Head,ID4493,D,0,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,2/16/2012 12:11,10,Cable Head,ID4493,D,0,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,2/16/2012 12:43,10,Cable Head,ID4493,D,9,0,0,
Case 1,Packing,Packing,2/17/2012 0:00,10,Cable Head,ID4820,D,9,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/17/2012 7:01,251,Spur Gear,ID3846,S,1,0,0,
Case 10,Turning Q.C.,Quality Check 1,1/17/2012 11:00,251,Spur Gear,ID4618,D,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/17/2012 19:24,251,Spur Gear,ID4132,S,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/17/2012 20:01,251,Spur Gear,ID4132,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/17/2012 23:49,251,Spur Gear,ID4794,D,37,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/18/2012 6:59,251,Spur Gear,ID3846,D,4,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/18/2012 16:33,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/18/2012 17:57,251,Spur Gear,ID4132,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/18/2012 20:10,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/19/2012 16:12,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/19/2012 18:10,251,Spur Gear,ID4132,D,8,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/19/2012 20:09,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/22/2012 2:42,251,Spur Gear,ID4641,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/22/2012 7:00,251,Spur Gear,ID3846,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/22/2012 9:02,251,Spur Gear,ID3846,D,79,0,0,
Case 10,Turning Q.C.,Quality Check 1,1/23/2012 7:54,251,Spur Gear,ID4618,D,251,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,1/25/2012 9:31,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,1/25/2012 11:00,251,Spur Gear,ID4882,D,160,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,1/25/2012 13:22,251,Spur Gear,ID4882,D,51,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,1/27/2012 10:30,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,1/29/2012 8:09,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,1/30/2012 15:19,251,Spur Gear,ID0998,D,51,0,0,
Case 10,Final Inspection Q.C.,Quality Check 1,2/2/2012 12:38,251,Spur Gear,ID4618,D,250,1,0,
Case 10,Packing,Packing,2/3/2012 0:00,251,Spur Gear,ID4820,D,250,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/20/2012 17:09,18,Ballnut,ID4219,D,7,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/20/2012 22:57,18,Ballnut,ID4529,D,11,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/21/2012 6:45,18,Ballnut,ID4219,S,1,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/21/2012 11:04,18,Ballnut,ID4219,D,17,0,0,
Case 100,Turning & Milling Q.C.,Quality Check 1,2/22/2012 14:48,18,Ballnut,ID4618,D,18,0,0,
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,3/11/2012 11:05,18,Ballnut,ID0998,D,18,0,0,
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,3/11/2012 12:23,18,Ballnut,ID0998,D,18,0,0,
